t_index   term                   df
6574     mayhem                  3
6575     mayor                  30
6576     maze                    2
6577     mbeki                   3
6578     mcalest                 3
6579     mcarthur                1
6580     mcauliff                4
6581     mcavoy                  1
6582     mccain                  5
6583     mccarthi                2
6584     mcclean                 1
6585     mcclure                 1
6586     mccollum                7
6587     mccomb                  1
6588     mcconnel                1
6589     mcdaniel                1
6590     mcdonald                2
6591     mcdoogl                 3
6592     mcdougal               12
6593     mcduff                  1
6594     mcduge                  1
6595     mcenro                  2
6596     mcgwire                 2
6597     mci                     1
6598     mcintosh                1
6599     mcnamara                1
6600     mcveigh                 1
6601     md                      6
6602     meager                  2
6603     meal                    6
6604     mean                   99
6605     meaning                 2
6606     meant                  22
6607     meantim                14
6608     meanwhil               74
6609     measur                 69
6610     meat                    3
6611     mecca                   2
6612     mechan                 10
6613     mechanicsvil            3
6614     medal                  10
6615     medalist                5
6616     media                  68
6617     mediat                 17
6618     medic                  92
6619     medicar                13
6620     medicin                18
6621     medina                  5
6622     medinat                 2
6623     mediterranean           6
6624     medium                  6
6625     meena                   1
6626     meet                  171
6627     megaphon                1
6628     megawatt                2
6629     meghann                 3
6630     megrahi                 1
6631     meguid                  1
6632     mehta                   3
6633     mei                     1
6634     mel                    67
6635     mela                    3
6636     melancholi              1
6637     melbourn               28
6638     mele                    7
6639     melissa                 7
6640     mell                    1
6641     mellman                 1
6642     melros                  1
6643     melt                    3
6644     melvin                  4
6645     member                205
6646     membership              4
6647     memento                 1
6648     memo                    5
6649     memoir                  1
6650     memor                   4
6651     memorandum              1
6652     memori                 58
6653     memphi                  1
6654     men                   217
6655     menac                   1
6656     mend                    3
6657     menet                   1
6658     mengistu                1
6659     mensch                  1
6660     mental                 15
6661     mention                37
6662     mentor                  1
6663     menu                    2
6664     mer                     1
6665     merced                  3
6666     merchant                6
6667     merci                   6
6668     merciless               1
6669     mere                   17
6670     merg                    3
6671     merger                  2
6672     meri                    2
6673     merianov                1
6674     merit                  13
6675     merlin                  1
6676     mermonsk                1
6677     mermosk                 1
6678     mern                    1
6679     merri                   2
6680     mershon                 8
6681     mesh                    2
6682     mesmer                  1
6683     mess                   17
6684     messag                 44
6685     messeng                 1
6686     met                    81
6687     metal                  32
6688     metallurg               2
6689     metaphor                3
6690     meteorolog              6
6691     meteorologist           3
6692     meter                   2
6693     method                 15
6694     methodist               2
6695     methodolog              1
6696     methyl                  1
6697     meticul                 4
6698     metropolitan            1
6699     mexican                 4
6700     mexico                 34
6701     mi                      2
6702     mia                    12
6703     miami                  14
6704     miand                   1
6705     micandinov              1
6706     mich                    9
6707     michael                45
6708     michal                  3
6709     michel                  4
6710     michella                1
6711     michigan               18
6712     mickelson               3
6713     mickli                  1
6714     microphon               2
6715     microscop               2
6716     micunov                 1
6717     mid                    35
6718     midafternoon            1
6719     midday                 11
6720     middl                 133
6721     mideast                25
6722     midhar                  2
6723     midnight               19
6724     midpoint                1
6725     midsect                 3
6726     midst                   7
6727     midstream               1
6728     midway                  2
6729     midweek                 1
6730     midwest                 3
6731     midwestern              1
6732     mif                     1
6733     mift                    1
6734     mig                     1
6735     might                 173
6736     mighti                  3
6737     migrant                 2
6738     migrat                  5
6739     miguel                 11
6740     mihailova               1
6741     mihajlov                3
6742     mihdar                  3
6743     miiltari                1
6744     mik                     1
6745     mike                   22
6746     mikhail                 8
6747     mikhailov               1
6748     mikilo                  1
6749     miklaszeski             1
6750     miklaszewski           14
6751     miklaszweski            1
6752     mil                    19
6753     milagro                 2
6754     milan                  10
6755     milanko                 1
6756     milanov                 2
6757     mild                    7
6758     mildli                  1
6759     mildr                   1
6760     mile                  138
6761     mileston                2
6762     milica                  2
6763     milit                  38
6764     militantli              2
6765     militar                 3
6766     militari              282
6767     militarili              8
6768     militia                 2
6769     militiamen              1
6770     milivoj                 1
6771     milivojev               1
6772     milk                    1
6773     milken                 17
6774     mill                    4
6775     millenni                1
6776     millennium              4
6777     miller                  6
6778     millimet                2
6779     million               192
6780     millionair             15
6781     milo                    3
6782     milosev               134
6783     milosov                 1
6784     milovan                 2
6785     milroy                  1
6786     milutin                 4
6787     milutinov               9
6788     milwauke                6
6789     min                     1
6790     minaret                 2
6791     minc                    1
6792     mind                   38
6793     minder                  1
6794     mindset                 1
6795     mine                   47
6796     minefield               1
6797     miner                  20
6798     minesweep               1
6799     ming                    1
6800     mingl                   3
6801     minh                   24
6802     miniatur                1
6803     minim                   3
6804     minimum                13
6805     minist                171
6806     ministri               35
6807     minivan                 1
6808     minn                    3
6809     minneapoli              2
6810     minner                  1
6811     minnesota              12
6812     minnesotan              1
6813     minor                  39
6814     mint                    1
6815     minu                    6
6816     minut                 114
6817     mira                    3
6818     miracl                 10
6819     miracul                 7
6820     miranda                 3
6821     mirco                   1
6822     miriam                  1
6823     mirjana                 9
6824     mirko                   2
6825     miroljub                1
6826     miroslav                2
6827     miroslava               2
6828     mirror                  3
6829     misappli                2
6830     miscalcul               1
6831     misconduct              1
6832     misconstru              1
6833     miscu                   1
6834     misde                   2
6835     misdemeanor             8
6836     miser                   4
6837     miseri                  1
6838     misfir                  3
6839     misfortun               1
6840     misguid                 1
6841     misha                   2
6842     mishandl                6
6843     mishap                  1
6844     mishra                  1
6845     misinform               2
6846     misl                    2
6847     mislead                 1
6848     mismanag                3
6849     mismatch                4
6850     misnom                  1
6851     mispronounc             1
6852     misrepres               1
6853     misrepresent            1
6854     misri                   1
6855     miss                  154
6856     missil                 55
6857     mission                55
6858     missionari              3
6859     mississippi            13
6860     missouri               67
6861     missourian              6
6862     misspel                 1
6863     misstat                 3
6864     misstep                 2
6865     mistak                 32
6866     mistaken                3
6867     mistreat                4
6868     mistress                6
6869     mistrust                1
6870     misunderstand           3
6871     misunderstood           4
6872     misus                   2
6873     mitch                   5
6874     mitchel                 7
6875     mitic                   2
6876     mitig                   5
6877     mitra                   1
6878     mitrovica               1
6879     mittman                 1
6880     mix                    26
6881     mixtur                  3
6882     mladic                  2
6883     mladjan                 3
6884     mo                     14
6885     moammar                 1
6886     moan                    1
6887     mob                    27
6888     mobil                  17
6889     mock                    5
6890     mockeri                 1
6891     mode                    4
6892     model                  12
6893     moder                  29
6894     modern                 24
6895     modest                  7
6896     modifi                  6
6897     mofrt                   1
6898     mogul                   5
6899     moham                  24
6900     mohammad                1
6901     mohm                    1
6902     mohsen                  3
6903     moin                    1
6904     molass                  1
6905     mold                    1
6906     mole                    1
6907     molest                  1
6908     molotov                 1
6909     mom                     5
6910     momcilo                 1
6911     moment                110
6912     moments                 1
6913     momentum               12
6914     momir                   5
6915     mommi                   1
6916     mona                    1
6917     monarch                 1
6918     monarchi                1
6919     monasteri               1
6920     monday                207
6921     monetari               13
6922     money                 115
6923     mong                    1
6924     monger                  2
6925     monica                 32
6926     moniqu                  1
6927     monitor                15
6928     monopol                 1
6929     monoxid                 2
6930     monsignor               1
6931     mont                    1
6932     montana                 9
6933     montecino               5
6934     montelo                 1
6935     montenegrin             7
6936     montenegro             23
6937     montesino              41
6938     montesseno              1
6939     montgomeri              2
6940     month                 271
6941     monthli                 1
6942     monthlong               1
6943     monticello              1
6944     montonegro              1
6945     montono                 1
6946     montoursvil             1
6947     monument                3
6948     moo                     1
6949     mood                   19
6950     moolgd                  1
6951     moon                    1
6952     mooney                  1
6953     mooni                   1
6954     moor                   35
6955     moorin                  1
6956     moot                    1
6957     mope                    1
6958     moral                  38
6959     morali                  1
6960     morariu                 4
6961     moratorium              5
6962     moreno                  8
6963     moreov                  2
6964     moresmo                 1
6965     morgan                  1
6966     morgu                   8
6967     mori                    5
6968     morison                 1
6969     mork                    1
6970     morn                  139
6971     moroccan                1
6972     morocco                 8
6973     moros                   1
6974     morph                   1
6975     morrano                 1
6976     morri                   2
6977     morrisvil               2
6978     mortal                  2
6979     mortar                  4
6980     mortem                  2
6981     morton                  3
6982     moscow                 79
6983     mosqu                  14
6984     mosquito                1
6985     mossad                  1
6986     mostli                 45
6987     motahar                 1
6988     motel                   9
6989     moth                    1
6990     mother                 64
6991     motherland              1
6992     motherless              1
6993     motion                 11
6994     motiv                  19
6995     motley                  1
6996     motor                  19
6997     motorbik                1
6998     motorcad               11
6999     motorcycl               6
7000     motorist                1
7001     motsak                  4
7002     motto                   2
7003     mound                  11
7004     mount                  39
7005     mountain               37
7006     mountainsid             6
7007     mountaintop             1
7008     mourn                  21
7009     mourner                12
7010     mourton                 1
7011     mouth                   4
7012     mouthpiec               3
7013     move                  212
7014     movement               37
7015     mover                   5
7016     movi                   10
7017     mow                     2
7018     moya                   10
7019     moynihan                5
7020     moyo                    1
7021     mozambiqu               2
7022     mph                    16
7023     mr                    151
7024     mra                     2
7025     mrclinton               1
7026     ms                      4
7027     msnbc                   5
7028     mtv                     1
7029     mubarak                 6
7030     much                  252
7031     mud                    24
7032     muddi                   4
7033     muddl                   3
7034     mudslid                 5
7035     mueller                 5
7036     muezzin                 1
7037     muffl                   3
7038     mug                     2
7039     mugab                   1
7040     muhajiroun              3
7041     muham                   1
7042     muhammad                7
7043     mujahedeen              1
7044     mujahedin               1
7045     mujahid                 1
7046     mull                    3
7047     mullah                  1
7048     mulligan                1
7049     mullin                  9
7050     mulshankar              3
7051     multi                   1
7052     multifacet              2
7053     multilingu              1
7054     multimillion            2
7055     multimillionair         3
7056     multin                  4
7057     multiparti              2
7058     multipl                11
7059     multipli                1
7060     multistori              7
7061     multitud                2
7062     mum                     2
7063     mumbai                  1
7064     munchak                 1
7065     mundan                  2
7066     munich                  1
7067     municip                17
7068     munit                   3
7069     muprhi                  1
7070     muqbel                  1
7071     murder                 52
7072     murdoch                 1
7073     murk                    1
7074     murki                   3
7075     murmansk                5
7076     murmosk                 1
7077     murousi                 1
7078     murphi                 21
7079     murray                  2
7080     murtza                  1
7081     musawah                 3
7082     muscl                   4
7083     muscular                1
7084     muse                    1
7085     museum                  7
7086     musharraf               4
7087     music                  13
7088     musician                2
7089     muslim                 59
7090     must                  123
7091     mustach                 2
7092     muster                  1
7093     mute                    9
7094     mutil                   2
7095     mutin                   1
7096     mutini                  7
7097     muttawakil              1
7098     mutter                  1
7099     mutual                  1
7100     myakka                  1
7101     myasthenia              1
7102     mydan                   1
7103     myer                    4
7104     myong                   2
7105     mysteri                17
7106     mystiqu                 1
7107     myth                    2
7108     mythic                  1
7109     na                      6
7110     naacp                   1
7111     nab                     2
7112     nabil                   1
7113     nachtig                 4
7114     nacion                  1
7115     nadejda                 1
7116     nader                  12
7117     naderi                  2
7118     nadia                   1
7119     nadler                  1
7120     nadu                    1
7121     nagel                   1
7122     nagl                    1
7123     nagyova                 3
7124     nahdi                   1
7125     nai                     1
7126     nail                    3
7127     naina                   5
7128     nainabehn               1
7129     nairobi                 6
7130     nairri                  1
7131     naiv                    1
7132     naji                    1
7133     najjar                  1
7134     nake                    2
7135     nam                     4
7136     namast                  1
7137     nambiar                 1
7138     name                  162
7139     namesak                 1
7140     namrata                 5
7141     nanci                   3
7142     nanni                   1
7143     nanuet                  1
7144     naoya                   1
7145     nap                     2
7146     narayan                 2
7147     narayanan               1
7148     narbheram               1
7149     narcot                 13
7150     narr                    1
7151     narrow                 29
7152     narrowli                9
7153     nasa                    1
7154     nasdaq                  1
7155     nashvil                 7
7156     nasir                   1
7157     nasr                    1
7158     nassou                  2
7159     nasti                   1
7160     nastier                 1
7161     natalia                 1
7162     nath                    1
7163     nati                    1
7164     nation                332
7165     nationalcop             1
7166     nationalist            15
7167     nationwid              20
7168     nativ                  18
7169     nato                   47
7170     natop                   1
7171     natta                   1
7172     natter                 11
7173     natur                  49
7174     nauf                    1
7175     navajo                  4
7176     naval                 108
7177     navarro                 1
7178     navasota                1
7179     navcent                 2
7180     navel                   1
7181     navi                  230
7182     navig                   2
7183     navnirman               1
7184     navpalib                4
7185     navrotski               8
7186     navstanorva             1
7187     navymen                 2
7188     nazi                    3
7189     nbc                    66
7190     ne                      1
7191     nea                     1
7192     near                  181
7193     nearbi                 66
7194     nearest                 1
7195     nearli                115
7196     neat                    4
7197     neatli                  1
7198     neb                     1
7199     nebojsa                15
7200     nebraska                4
7201     necess                  2
7202     necessari              30
7203     necessarili             8
7204     necessit                3
7205     neck                    9
7206     ned                     1
7207     need                  210
7208     needi                   1
7209     neediest                1
7210     needl                   1
7211     neeman                  1
7212     neg                    12
7213     negat                   1
7214     neglect                 2
7215     neglig                  4
7216     negoti                 63
7217     neighbor               83
7218     neighborhood           54
7219     neighborli              5
7220     neil                    2
7221     neill                   3
7222     neither                38
7223     nelli                   1
7224     nelson                  8
7225     nemesi                  4
7226     nemeth                  1
7227     nena                    1
7228     nenad                  10
7229     nenadov                 1
7230     nene                    1
7231     neo                     7
7232     nepal                   8
7233     nephew                  5
7234     neruda                  2
7235     nerv                    5
7236     nervou                 12
7237     nervous                 4
7238     nese                    1
7239     ness                    1
7240     nest                    1
7241     net                    81
7242     netherland             15
7243     network                61
7244     neutral                 4
7245     nevada                  7
7246     never                 143
7247     nevertheless            9
7248     nevypolneniy            1
7249     new                   401
7250     newark                  1
7251     newburi                21
7252     newcomb                 1
7253     newer                   1
7254     newest                  6
7255     newfound                1
7256     newli                  34
7257     newlyw                  2
7258     newport                 2
7259     news                  352
7260     newscast                7
7261     newslett                4
7262     newsmagazin             1
7263     newsnow                 1
7264     newspap                58
7265     newsroom                1
7266     newsstand               1
7267     newsweek                3
7268     newswir                 1
7269     next                  238
7270     nfl                     1
7271     ng                      2
7272     nga                     4
7273     ngan                    1
7274     ngo                     2
7275     ngoc                    2
7276     nguessan                2
7277     nguyen                  4
7278     nhan                    1
7279     nhema                   1
7280     ni                     10
7281     nic                     1
7282     nicaragua               3
7283     nice                   10
7284     niceti                  1
7285     nich                    1
7286     nichola                 2
7287     nick                    4
7288     nicknam                 5
7289     nicodem                 2
7290     nicol                   3
7291     nicola                  8
7292     nidal                   1
7293     niec                    1
7294     nielsen                 1
7295     nien                    2
7296     nieto                   1
7297     nigeria                 7
7298     nigerian                1
7299     night                 198
7300     nightclub               3
7301     nighter                 1
7302     nightfal                3
7303     nightgown               2
7304     nightli                 2
7305     nightmar                6
7306     nightmarish             1
7307     nighttim                6
7308     nikit                   1
7309     nikol                   2
7310     nikola                  3
7311     niksic                  2
7312     nimesh                  1
7313     nin                     2
7314     nina                    5
7315     nine                   47
7316     nineti                  1
7317     nino                    1
7318     ninth                  20
7319     nip                     2
7320     nirmala                 1
7321     nissan                  3
7322     nitex                   2
7323     nitrat                  1
7324     nitti                   1
7325     nixon                  17
7326     nizali                  1
7327     nleomf                  1
7328     nn                      1
7329     nobl                    3
7330     nobleman                1
7331     nobodi                 39
7332     nod                     2
7333     noi                     1
7334     nois                    6
7335     noisi                   1
7336     nolan                   1
7337     noman                   1
7338     nomin                  17
7339     nomine                 14
7340     non                    18
7341     nonchalantli            1
7342     noncommiss              1
7343     none                   45
7344     nonessenti              3
7345     nonetheless             9
7346     nonexist                5
7347     nongovern               2
7348     nonneman                1
7349     nonpartisan             6
7350     nonpolit                2
7351     nonprofit               3
7352     nonsens                 1
7353     nonspecif               1
7354     nonstat                 1
7355     nonstop                 4
7356     nonviol                 7
7357     nonword                 1
7358     noon                   13
7359     noparolepelti           2
7360     norah                   1
7361     norfolk                67
7362     norm                    3
7363     normal                 69
7364     normalci                1
7365     norman                 19
7366     north                  78
7367     northeast              10
7368     northeastern            6
7369     northern               60
7370     northup                 4
7371     northward               1
7372     northwest              17
7373     northwestern            3
7374     norton                  1
7375     norway                 14
7376     norwegian              44
7377     nose                    3
7378     nostalgia               1
7379     notabl                 10
7380     notch                   4
7381     note                   70
7382     notebook                2
7383     noth                   82
7384     notic                  19
7385     notif                   1
7386     notifi                 20
7387     notion                  4
7388     notori                  6
7389     notorieti               1
7390     notr                    2
7391     notwithstand            2
7392     nov                    38
7393     novel                   2
7394     novelist                2
7395     novemb                 36
7396     novi                    4
7397     novic                   1
7398     novost                  1
7399     novosti                 3
7400     nowaday                 1
7401     nowher                  8
7402     npr                     9
7403     ntsb                    5
7404     nuanc                   1
7405     nuclear                52
7406     nude                    1
7407     nudg                    3
7408     nuffer                  1
7409     null                    1
7410     nullifi                 9
7411     numb                    1
7412     number                145
7413     numer                  21
7414     nun                     1
7415     nuria                   3
7416     nurs                    8
7417     nurtur                  2
7418     nuvajubhai              1
7419     nw                      1
7420     ny                      1
7421     nytim                   1
7422     oa                      2
7423     oakland                 1
7424     oasi                    2
7425     oath                   13
7426     oaxa                    1
7427     obedi                   2
7428     obey                    9
7429     obituari                1
7430     object                 36
7431     oblig                   9
7432     obliqu                  1
7433     obliter                 2
7434     obrad                   1
7435     obradov                 3
7436     obrenovac               1
7437     obscen                  2
7438     obscur                  5
7439     observ                 45
7440     observatori             1
7441     obsess                  2
7442     obstacl                14
7443     obstinaci               1
7444     obstruct                3
7445     obstructionist          1
7446     obtain                 61
7447     obviou                 12
7448     obvious                46
7449     obyazatelstv            1
7450     occas                  19
7451     occasion               14
7452     occup                   9
7453     occupi                 16
7454     occur                  67
7455     ocean                  13
7456     ochoa                   3
7457     oct                   112
7458     octob                  76
7459     octopu                  3
7460     odci                    4
7461     odd                    10
7462     odeh                    1
7463     odium                   1
7464     odlon                   1
7465     odolon                  1
7466     offenc                  1
7467     offend                 13
7468     offens                 16
7469     offer                 128
7470     offic                 364
7471     offici                496
7472     offshoot                1
7473     offshor                11
7474     ofici                   1
7475     often                  64
7476     ofussia                 1
7477     ogen                    1
7478     ognjen                  1
7479     oh                     14
7480     ohio                    9
7481     oht                     2
7482     oik                     1
7483     oil                    48
7484     oiler                   2
7485     oilfield                1
7486     oili                    4
7487     ojdan                   3
7488     ok                     16
7489     okay                    8
7490     okaz                    1
7491     okla                    2
7492     oklahoma               13
7493     oklia                   1
7494     old                   256
7495     olden                   1
7496     older                   9
7497     oldest                  9
7498     oleg                    2
7499     olga                    3
7500     oliv                    5
7501     oliva                   2
7502     olivera                 5
7503     olivo                   1
7504     oloroc                  1
7505     olsen                   3
7506     olson                   1
7507     olymp                  16
7508     olympia                 3
7509     olympian                1
7510     om                      1
7511     omah                    1
7512     oman                    4
7513     omar                    9
7514     ombudsman               4
7515     omen                    3
7516     omeri                   1
7517     omin                    2
7518     omiss                   2
7519     omit                    2
7520     omnivor                 1
7521     onal                    1
7522     onboard                 4
7523     onc                   137
7524     one                   606
7525     onetim                  2
7526     ong                     1
7527     ongo                   14
7528     onkar                   1
7529     onli                  348
7530     onlin                   1
7531     onlook                  9
7532     onsit                   1
7533     onslaught               1
7534     onto                   50
7535     onw                     1
7536     onward                  1
7537     op                      1
7538     opec                    1
7539     open                  275
7540     openli                 16
7541     oper                  166
7542     opera                   2
7543     operat                  1
7544     opinion                23
7545     oppon                  75
7546     opportun               30
7547     oppos                  42
7548     opposit               188
7549     opt                     6
7550     optic                   2
7551     optim                   4
7552     optimist               12
7553     option                 39
7554     opul                    3
7555     opusa                   1
7556     oracl                   1
7557     oral                    1
7558     orang                  10
7559     orano                   1
7560     orat                    2
7561     oratori                 1
7562     orbit                   1
7563     orchard                 1
7564     orchestr                4
7565     ordain                  1
7566     ordeal                  5
7567     order                 132
7568     orderli                 6
7569     ordin                   1
7570     ordinari               16
7571     ordnanc                 7
7572     ore                     7
7573     oregon                 11
7574     oreman                  1
7575     org                    13
7576     organ                 120
7577     organiz                 2
7578     orgi                    1
7579     orient                  6
7580     origin                 46
7581     orissa                  1
7582     orlando                 4
7583     orlean                  1
7584     orphan                  1
7585     orrin                   2
7586     ort                     1
7587     ortega                  2
7588     ortel                   1
7589     orthodox               17
7590     orthoped                1
7591     ortiz                   3
7592     osama                  84
7593     oscar                   5
7594     oshima                  3
7595     oshman                  6
7596     oskinoff                1
7597     oslo                    2
7598     osprey                  1
7599     osseo                   1
7600     ostentati               1
7601     osteochondrosi          1
7602     ostrichlik              1
7603     otherwis               22
7604     otpor                   2
7605     ottoman                 5
7606     ouattara               30
7607     ought                  13
7608     oui                     1
7609     ould                    1
7610     ouof                    1
7611     ourselv                12
7612     oust                   53
7613     ouster                  9
7614     outboard                3
7615     outbreak                6
7616     outburst                3
7617     outclass                1
7618     outcom                 46
7619     outcri                  1
7620     outdoor                 4
7621     outer                  11
7622     outfit                  6
7623     outgo                   9
7624     outgrowth               2
7625     outgun                  1
7626     outing                  1
7627     outlast                 4
7628     outlaw                  8
7629     outlay                  1
7630     outlet                  4
7631     outli                   1
7632     outlin                  8
7633     outliv                  1
7634     outmaneuv               3
7635     outmod                  1
7636     outnumb                 3
7637     outplay                 1
7638     outpol                 16
7639     outpost                 1
7640     outpour                 5
7641     output                  2
7642     outrag                 21
7643     outrais                 1
7644     outreach                1
7645     outright               21
7646     outset                  4
7647     outsid                175
7648     outskirt                4
7649     outsmart                3
7650     outspend                1
7651     outspent                3
7652     outspoken               4
7653     outstand                2
7654     outster                 1
7655     outstrip                1
7656     outtara                 1
7657     outvot                  1
7658     outward                 3
7659     outwardli               1
7660     outweigh                2
7661     oval                    4
7662     ovat                    1
7663     overabund               1
7664     overal                  6
7665     overbil                 1
7666     overboard               2
7667     overcam                 8
7668     overcom                13
7669     overconfid              3
7670     overcrowd               1
7671     overdo                  1
7672     overdu                  1
7673     overec                  1
7674     overestim               1
7675     overextend              1
7676     overflow                4
7677     overh                   1
7678     overhaul                3
7679     overhead               13
7680     overjoy                 1
7681     overlap                 1
7682     overli                  2
7683     overload                3
7684     overlook                8
7685     overnight              25
7686     overpaid                1
7687     overpow                17
7688     overreact               1
7689     overrid                 3
7690     overrul                 1
7691     overrun                 2
7692     oversaw                 5
7693     overse                 29
7694     oversea                25
7695     overshadow             10
7696     oversight               1
7697     overst                  2
7698     overstay                1
7699     overstep                1
7700     overt                   3
7701     overtak                 2
7702     overtaken               1
7703     overthrew               5
7704     overthrow               9
7705     overthrown              4
7706     overtim                 2
7707     overtli                 1
7708     overton                 1
7709     overtook                1
7710     overtur                 2
7711     overturff               1
7712     overturn               16
7713     overwhelm              27
7714     overwhelmingli          2
7715     overwrought             1
7716     overzeal                2
7717     owe                    12
7718     owen                    9
7719     owhali                  2
7720     owner                  20
7721     ownership               1
7722     oxfam                   1
7723     oxfamamerica            1
7724     oxygen                  1
7725     oyanguren               1
7726     pa                     19
7727     pabl                    2
7728     pac                     1
7729     pace                   10
7730     pacif                  26
7731     pack                   34
7732     packag                  4
7733     pact                    7
7734     paddi                  12
7735     paddl                   1
7736     padella                 1
7737     padlock                 1
7738     pae                     2
7739     page                   39
7740     pageantri               2
7741     pager                   1
7742     paid                   30
7743     paig                    1
7744     pain                   31
7745     painstak                3
7746     painstakingli           3
7747     paint                  11
7748     painter                 1
7749     pair                   20
7750     pajama                  1
7751     pajoli                  1
7752     pakistan               30
7753     pakistani               8
7754     palac                  24
7755     palacio                 2
7756     palanka                 3
7757     pale                    2
7758     palestin               11
7759     palestinian            53
7760     pall                    2
7761     pallbear                1
7762     palm                    5
7763     palmer                  7
7764     paltri                  1
7765     pamper                  1
7766     pamphlet                3
7767     pan                     8
7768     panama                 24
7769     panamanian              1
7770     panamericana            1
7771     panchal                 1
7772     pandya                 14
7773     paneagua                2
7774     panel                  16
7775     paniagua               35
7776     panic                  16
7777     panick                  8
7778     pant                    1
7779     pantap                  1
7780     panther                 1
7781     pantsuit                1
7782     paola                   3
7783     papandr                 2
7784     paper                  24
7785     paperwork               2
7786     para                    1
7787     parachut                1
7788     parad                  21
7789     paradigm                1
7790     paradox                 1
7791     parafinanci             2
7792     paraguay                3
7793     parallel                6
7794     paralys                 1
7795     paralyz                 1
7796     paramed                 2
7797     paramilitari           10
7798     paranoia                3
7799     paranoiac               1
7800     paraphras               1
7801     parapleg                2
7802     parapolic               2
7803     pardon                 91
7804     parent                 60
7805     pari                    9
7806     pariah                  5
7807     parikh                  1
7808     parishion               3
7809     park                   48
7810     parlanc                 3
7811     parlett                 1
7812     parliament             58
7813     parliamentari           6
7814     parliamentarian         1
7815     parlor                  1
7816     parmar                  1
7817     parodi                  1
7818     parol                  16
7819     part                  240
7820     parth                   2
7821     parti                 192
7822     partial                11
7823     particip               60
7824     particular             31
7825     particularli           41
7826     partisan                3
7827     partisanship            2
7828     partit                  2
7829     partli                 10
7830     partner                41
7831     partnership             5
7832     parvail                 1
7833     pasariavich             1
7834     pascagoula              6
7835     pascual                 2
7836     paso                   10
7837     pasriavach              1
7838     pasriavich              1
7839     pasricha                1
7840     pass                   82
7841     passag                  7
7842     passageway              1
7843     passeng                 5
7844     passion                10
7845     passiv                  2
7846     passport                9
7847     past                  140
7848     pasta                   1
7849     pastim                  1
7850     pastri                  2
7851     pastur                  1
7852     pat                    13
7853     pataki                  1
7854     patch                   4
7855     patel                  10
7856     patera                  1
7857     patern                  2
7858     path                   17
7859     pathway                 1
